OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
+,4380,7253,3809,4294,4126,6098,7089,3320,6564,2079
+,1718,6628,8641,3242,9872,1390,4559,6983,2110,7982
-,654,0,0,0,0,0,0,0,0,0
+,6856,7428,1214,3333,5550,5442,2261,2997,8095,7788
+,3017,9000,6879,1840,2149,7846,4023,2647,7115,5855
+,1618,21,8343,2912,5746,6204,7439,3257,811,3480
+,5538,6844,7886,5362,4091,518,119,6797,3278,9324
+,2341,5185,8098,3847,3320,967,7758,638,7991,1100
+,6141,8074,3316,8852,4883,946,1548,6358,4373,1474
+,5034,6168,9051,2245,2481,6388,2537,1765,163,6047
+,9331,2040,3409,325,3170,1828,183,4285,9798,2107
+,6128,8502,203,541,7914,7657,8802,8996,396,7376
+,80,7206,3728,2355,8952,7616,1504,4585,8820,4215
+,3568,8300,2462,8988,7505,5091,7108,4383,1945,9224
+,5224,3248,9085,5875,6312,9032,1821,6013,6503,7208
+,348,7043,894,3308,1168,4177,6939,9859,1534,7335
+,6232,189,5529,926,3733,7938,3518,3901,6943,2863
+,8050,8883,4518,3073,8170,222,1369,8312,2442,3374
+,2364,3579,1725,1313,7870,885,12,1951,6732,2190
+,1099,7501,8094,3791,1898,9004,2144,3948,3935,4395
+,2920,3764,489,990,4984,9020,4178,4144,6775,3153
+,6370,3950,761,7412,4448,8135,3798,8225,1498,8411
+,7845,3788,386,3131,7490,5722,9758,9711,2301,2900
+,8473,4307,928,7809,6741,3713,8530,4477,3271,52
+,2818,3133,9471,1943,2827,1397,2351,9396,6638,3459
+,4947,3742,7908,9431,8447,6880,6471,2237,2644,8536
+,9955,6606,7983,8323,6518,5155,3285,7637,4034,884
+,4366,4919,5206,1999,8735,9483,8837,6271,750,8104
-,14,0,0,0,0,0,0,0,0,0
+,3805,9092,1170,7648,8082,6765,9212,8453,5910,6332
+,365,6568,4481,3038,6674,1089,55,9424,6654,7768
+,7618,7358,6189,9386,3654,6676,1490,6864,2788,9485
+,1089,4276,6570,4343,5428,1553,1403,460,5436,5150
+,3434,6436,3006,4966,3596,9626,2654,4173,3257,438
+,6259,4349,5771,7696,4730,5475,2428,7728,5100,4148
+,9584,7223,3592,3952,3975,1952,3231,418,3132,5101
+,6199,7156,9267,3394,7853,503,4310,8628,5841,7110
+,7966,1984,8840,555,9905,872,1727,1762,1019,3183
+,856,5990,6720,5823,816,9617,7029,3156,2403,1714
+,6883,3271,2725,4016,6617,6593,4378,5839,7961,2676
+,8490,8565,8467,8571,5264,4184,8656,384,5009,5732
+,9432,4679,6624,8205,9840,3012,3235,7324,7414,2397
+,2758,9825,307,2728,6558,6148,7727,7905,5775,2750
+,5355,3176,9744,1096,5331,3484,2806,4072,9445,5303
+,7695,3357,1698,4619,4825,6422,7306,4195,6287,558
+,9047,8084,1996,8436,7115,9429,7467,7349,211,5615
+,9622,9698,5438,1005,2012,6468,3292,8804,3930,5984
+,6909,6972,8337,4969,2933,767,2204,1886,9645,5692
+,2929,7035,3476,8940,2183,9903,7204,9848,5592,235
+,5769,9107,6906,8520,1318,4155,4041,4442,7415,3048
+,8768,8327,2520,3574,1895,2938,590,7999,4094,4576
+,5235,4881,8508,357,80,6762,1659,3133,1787,501
+,4702,4957,4381,3236,6094,4202,5647,5785,230,605
+,8642,2036,4927,1233,6017,4065,7400,4297,2152,2794
+,9693,9878,7774,1302,4117,183,3,4393,8795,4552
+,6190,7001,8008,6128,3411,4436,1510,2559,9670,9856
+,4728,2518,3795,6931,5860,6567,5205,382,4319,6193
+,4578,484,1877,2012,1288,3562,9776,7572,2513,4377
+,6605,8562,7656,1967,4547,4040,7328,2550,4373,757
+,2781,8071,7216,535,5726,1925,1748,3858,3490,9427
+,6419,6425,2640,4893,6475,6647,6659,4001,5444,1021
+,336,5346,4283,907,6124,1686,6899,7675,2020,2996
+,8104,1454,5561,3727,1293,9991,8801,2973,1395,5214
+,807,8181,9233,8202,5721,3989,7697,7569,6299,3604
+,8351,3287,4961,8200,5178,6888,1493,1238,3210,8885
+,7291,9145,1726,4252,6666,7449,7223,1581,2691,7452
+,3986,3152,3794,407,3312,7676,1747,145,4935,1529
+,4665,2357,3569,8591,7990,9006,4704,4874,1938,5596
+,9425,4222,1804,5050,2804,6406,3077,1205,5599,9484
+,6035,4720,2815,5846,6285,2881,5391,5052,5179,288
+,628,2800,9048,4621,9290,1952,5923,3229,5844,9706
+,5291,1906,4092,3995,7371,7080,3325,5487,4407,50
+,9875,5409,3432,8588,3119,8613,8477,6182,9789,8169
+,5730,7583,8516,2938,5865,3900,8152,3132,9494,6001
+,2484,925,3553,2532,2780,2946,7191,2264,5842,7376
+,9577,2874,1700,1406,3610,6840,6655,4198,6511,1271
+,8428,5005,1574,1002,4037,9917,2020,9950,6668,7578
+,5367,542,6633,6776,2098,9819,4681,6082,8647,8877
+,2077,9549,3101,1662,6058,5870,7611,3350,3510,4450
+,100,7766,4125,8079,3827,7375,4714,2665,2874,8696
+,9893,9967,9285,782,375,7388,8335,1644,5627,6675
-,399,0,0,0,0,0,0,0,0,0
+,331,6174,3155,2541,5521,7016,1636,1991,6846,2542
+,4467,8678,3398,8886,2581,3352,6895,9793,4150,7511
+,2064,7623,7672,2753,7689,7649,2125,3626,5790,4712
+,6353,3055,3944,8687,8971,4737,2564,562,748,7073
-,615,0,0,0,0,0,0,0,0,0
+,4462,4083,4487,9076,7059,4804,5648,3811,9156,4232
+,1296,8601,2478,9954,8121,8059,9652,7563,679,2100
-,72,0,0,0,0,0,0,0,0,0
+,866,9378,5361,82,5574,3797,8574,6978,4158,4352
+,8063,1297,9628,8198,7044,5557,6153,5296,7949,9981
-,803,0,0,0,0,0,0,0,0,0
+,5269,258,1396,5306,5746,7634,3252,9598,2459,359
+,6362,3811,4020,3086,60,3925,8941,6140,9726,1580
+,5462,3306,2141,3676,1658,2637,5082,9701,2199,4460
+,2507,2502,5349,2858,3794,1866,9189,1308,5380,2718
+,7316,2444,1790,6476,1504,8862,6704,189,4077,4130
+,6868,3640,6744,7040,4909,7445,832,2081,225,2039
+,205,703,9206,3068,2901,9242,8190,5041,5955,6660
+,4986,3892,5561,761,2717,1867,1328,2584,8128,2153
+,2030,3988,8091,4802,3368,8059,6532,6853,9049,7079
+,6938,4031,6859,3862,3743,8492,2746,2620,5404,8010
-,171,0,0,0,0,0,0,0,0,0
+,9427,9903,3009,1692,5517,5681,2916,5504,3608,9392
+,7474,242,6315,8897,9353,1071,1299,4038,6287,2715
+,5780,3753,3985,9069,815,4178,8302,5244,215,8186
+,2333,1206,2704,8495,5158,7795,2012,5704,2049,2303
+,3893,1980,9896,6679,2546,6721,8247,8384,7502,5286
-,295,0,0,0,0,0,0,0,0,0
+,8162,6319,5577,4464,9244,6169,7207,5335,6866,4946
-,626,0,0,0,0,0,0,0,0,0
+,9789,5100,7955,1997,4239,1792,1759,6570,3086,4174
+,8535,920,2433,9738,6390,439,1061,7622,9254,4752
+,2586,5134,6053,1360,4937,8407,5997,9689,3287,1894
+,3584,8209,3848,9767,5224,7913,7860,6556,9214,8332
+,899,8013,5828,9997,1003,1358,3810,259,1473,3100
+,6220,7161,6213,359,9139,2402,6919,3331,9116,8975
+,1066,8492,5686,1019,5022,3450,8342,5173,632,6154
+,2567,510,2356,8342,7419,2959,9202,7177,7264,6912
+,8040,5162,2997,6869,8869,6293,1193,9808,8287,562
+,168,6853,480,8318,9537,3761,7557,4717,4145,5636
+,5844,6766,4426,9880,2869,7165,3494,7269,6482,4034
+,7272,6139,393,635,5665,5647,2561,3631,5774,6693
+,210,3585,2026,4746,8205,6358,8395,6165,4156,9390
+,3289,2029,9369,5750,1850,2457,4982,3014,4012,9514
+,1504,306,7075,2984,9211,3869,7431,682,3511,1186
+,5661,1341,4473,3408,7414,9377,4223,6224,105,3270
+,2680,5587,531,6944,8489,1372,2711,1064,98,6657
+,6806,8365,7968,2608,5857,1961,2895,5916,2089,2651
+,2168,4968,3896,1282,9760,1594,3277,7944,3123,3147
+,9730,7498,1410,6566,1377,766,8908,9648,4165,5449
-,110,0,0,0,0,0,0,0,0,0
+,7446,5045,6764,6282,5986,8526,8023,1195,4650,8613
+,5432,6411,5840,5882,9351,2622,5804,7532,8518,2808
+,1741,8270,7600,671,1247,5455,1713,6760,9594,1151
+,693,6641,3793,7585,3402,7520,3931,5200,5004,8235
+,320,7591,7859,6547,529,5811,7396,5550,5993,5127
+,5781,7511,6445,1861,7115,3339,7475,2734,7168,6399
+,3476,9141,861,2153,1797,3303,5587,913,1855,745
+,3647,1395,1415,2073,5397,5482,1946,5958,1967,9562
+,6830,5237,4897,5933,7244,395,4064,3949,1977,8984
+,474,2979,2187,5787,8457,2785,4418,4807,6445,9319
+,408,9331,4859,2548,9700,2960,1312,5326,3344,9134
+,6861,291,229,9090,1741,6979,2748,6559,5239,533
+,4072,6706,8711,3311,8251,3360,8335,1377,6327,4730
+,8391,5728,2039,963,7702,8642,9473,6722,6888,4676
+,5416,8104,884,8866,1812,8848,8775,7460,718,8452
+,546,5600,2699,9726,8943,1658,3618,5657,3828,5313
+,3408,8473,2957,4713,8867,3943,2171,2373,8105,5445
+,4308,9676,2775,5623,4121,7088,7027,4085,2440,4032
+,7182,6446,3402,755,8968,371,390,6918,1851,8142
+,5469,161,7963,4993,2539,8922,5206,947,5755,6163
+,3495,5010,5148,5545,8756,5848,6786,5426,7715,3115
+,206,4738,9937,5350,1252,778,2570,8753,6671,3552
-,965,0,0,0,0,0,0,0,0,0
+,9286,4570,8310,3049,6976,8054,448,4581,4134,929
+,6018,7721,3327,849,8098,416,9602,518,1533,3999
+,6275,8862,5977,2602,1539,155,3759,4445,3162,8826
+,9027,6305,6921,3119,6614,3026,7995,6726,2032,6288
+,5518,5187,5374,9831,8157,2256,6850,4102,740,9442
+,6184,5195,3068,915,4032,3478,1414,6385,7516,5327
+,9259,7569,31,1473,3024,8501,9624,4975,3048,8372
+,3168,9484,9222,8359,1296,8244,3724,5474,8967,6195
+,9236,1259,1501,6435,9663,3312,8945,1415,9458,4379
+,9352,4783,3599,2358,5404,6968,9634,9363,4544,9755
+,9913,347,2094,8671,2510,1652,3841,6244,320,6475
+,7187,2136,771,3648,1834,2926,5867,3237,6306,1735
+,2140,5960,8227,8309,9408,6718,4465,3886,4519,7643
+,5186,1817,2352,4173,2897,9988,9552,1593,2529,9799
-,717,0,0,0,0,0,0,0,0,0
+,251,3988,4065,2956,3232,5770,7201,5521,3499,5785
+,6094,2705,7824,6153,898,9872,5446,5754,4892,8374
-,263,0,0,0,0,0,0,0,0,0
+,643,8763,3584,9110,4435,1627,4282,2519,9805,9842
+,4244,1733,8810,415,8752,2038,8424,9306,5462,4722
+,2952,1514,1167,5084,7721,9318,1660,1580,2290,7149
+,4845,6986,5562,2483,561,9323,1540,228,2691,2585
+,3391,6260,6061,160,8467,1828,6502,5762,5033,1952
+,5178,8250,5130,2979,4299,7894,7753,3626,4473,8164
+,5271,8663,5811,8705,6140,6392,7691,3185,7495,1713
+,1003,7548,4011,5709,2895,4015,2045,9066,5233,9650
+,588,7892,9968,8861,821,3514,993,8701,7431,1493
+,9021,8207,869,5471,9194,2965,1930,274,8464,7772
+,7084,438,2141,1898,3644,53,529,1847,9143,8616
+,6890,3881,8051,4027,3719,9806,7754,153,6124,2555
+,8997,6389,4188,3474,2306,8303,8251,7466,9012,4386
+,1803,1604,3170,4666,7520,842,8982,6327,2130,5613
+,9956,9162,4743,5892,7357,6968,3342,6526,259,284
-,391,0,0,0,0,0,0,0,0,0
+,3818,1084,6074,5163,1581,6802,3221,7590,6573,5741
+,6859,4002,2308,2774,4630,299,8567,7602,8817,7442
+,7397,5458,7328,2655,2501,433,9667,8661,7101,1418
+,6026,1274,494,9688,5032,6126,1208,5997,4921,2678
+,4319,1017,8608,1880,1481,3953,2733,6759,5732,3528
+,8921,1269,7902,8957,5912,2490,3816,8063,5213,8002
+,3544,1796,2460,6266,7083,3044,1149,8254,5414,1616
+,303,4765,9847,7463,1326,358,920,9462,4627,242
+,2285,8713,8210,7606,7785,8096,9030,7529,1813,3657
+,3071,7517,3103,9079,2611,9463,2419,7486,7326,9894
+,7663,9781,6245,7881,8255,9594,8050,4718,689,8288
+,6758,6094,3991,805,9209,8840,4066,7748,3602,2726
+,2826,4550,6759,6638,3489,7348,7476,5534,2103,3636
+,1749,1550,1827,5418,5341,4982,4720,2243,4059,3488
+,6052,9138,7378,5551,4128,5385,5439,633,2504,5959
+,7127,9964,4446,3591,6382,603,9341,1378,2573,2430
-,881,0,0,0,0,0,0,0,0,0
+,1827,1078,8208,5804,414,800,2127,8989,4057,842
+,3224,8730,6244,6459,2387,6243,9157,1396,8655,4051
+,8850,7445,7748,5454,305,1200,2839,7383,7429,8174
-,172,0,0,0,0,0,0,0,0,0
+,6902,6368,6514,3569,4671,4786,3316,996,7768,4063
+,6284,5940,165,3337,3904,9826,4511,9188,5895,3114
+,9797,6620,2265,7377,5097,9018,2192,5446,9598,9982
+,5549,2215,7662,9795,2803,4418,5168,9646,7523,7010
+,2216,7294,9121,1793,488,2397,9343,9434,7730,4124
-,785,0,0,0,0,0,0,0,0,0
+,5167,4612,6956,8432,6684,2852,9062,7996,4306,5938
+,4219,4961,1239,8861,1439,3096,167,1905,7456,7988
-,768,0,0,0,0,0,0,0,0,0
+,569,2538,5575,5070,9291,7213,8729,919,3862,5418
+,4296,7802,4701,5570,8175,185,609,6252,3124,2219
+,1720,4857,5809,4126,9231,2418,5197,6129,377,8028
-,129,0,0,0,0,0,0,0,0,0
+,9409,6594,2701,1903,4480,3900,7441,9301,2984,258
-,634,0,0,0,0,0,0,0,0,0
+,5984,6624,6430,8036,8216,4045,3513,5828,8741,6441
+,5930,5023,441,2075,3140,3586,8117,8774,3595,2262
+,2545,7234,935,4764,9180,681,9132,5363,5871,2259
+,6228,9336,7986,8680,9522,5927,8929,3390,2350,2794
+,1050,5490,7096,2960,4127,1023,5208,7122,1371,1141
+,9450,7131,2139,1997,1781,7646,3491,3691,5439,7070
+,5629,7308,4213,8660,5359,3801,6104,7396,5255,334
+,5992,3341,9488,1393,1476,6261,1710,5026,9525,1857
+,3343,5351,1069,1780,7783,2667,9151,2309,4612,5516
+,6450,4242,8947,3627,3791,9603,7174,1273,5129,4203
+,1639,5021,7186,2908,1697,1449,9808,2351,7274,6174
+,515,7915,3843,8857,6459,8808,3828,7936,3869,6977
+,1394,9443,78,4674,6949,4866,3340,5855,3849,7895
+,9957,6938,3926,2003,3680,9427,3992,9670,9462,9548
+,5735,5722,487,9761,7760,523,2444,5023,3721,7290
+,1083,2606,8119,2772,2014,9260,9829,4198,5528,6013
+,4757,8410,1296,9883,5984,4910,4539,1374,2671,819
+,3607,1029,9532,4319,8988,7811,1819,1372,2448,5110
+,366,6388,9316,9303,6690,9453,7746,2168,2305,9817
+,9688,1985,7318,6933,569,5887,2070,2425,9381,8471
+,5076,7420,1773,1779,8070,7581,6337,9634,2819,3060
+,3500,9355,8438,6361,1337,7860,2455,6445,9156,7730
+,3749,2751,5567,9395,4593,559,2919,2695,6735,7663
+,5530,7310,934,5382,7956,8416,193,922,8404,1643
+,6651,7943,9887,7370,4896,1657,6484,172,8251,8677
+,4364,4057,6868,3544,1177,6372,313,4592,2938,8104
+,4263,4688,8476,8679,9906,2888,917,4086,7455,5341
+,6552,1958,465,1559,5212,6623,9875,9169,4045,666
+,4382,414,1414,7237,9470,4777,9615,5284,8139,3829
+,7701,6209,4484,9658,4381,7504,4162,9087,8038,1091
+,4020,8243,5624,5211,8093,9773,1063,967,9587,3068
+,5189,6288,1750,3350,1240,3680,9162,1818,1862,7766
+,8903,2234,6379,1711,7928,9744,7214,125,4848,5543
+,6112,8929,7652,7021,661,5341,786,4674,8352,1148
+,3245,5833,8807,6473,8938,3534,8999,8865,4680,686
+,810,6825,1476,3459,635,1400,5111,4334,4085,7333
+,887,3410,3605,5340,9445,1142,2977,9013,1420,7968
-,266,0,0,0,0,0,0,0,0,0
+,9084,7125,6023,1696,1331,4750,9236,4458,6679,1300
+,4607,7464,3817,7389,6587,1332,9300,8710,2741,9579
-,693,0,0,0,0,0,0,0,0,0
-,839,0,0,0,0,0,0,0,0,0
+,8088,1070,320,1887,9202,8447,2056,1206,1482,7915
+,3998,7376,2877,5809,5198,5979,1240,5739,4444,2495
+,4507,5756,3587,1532,5869,6984,8109,4763,5898,111
+,3945,9618,2040,5316,4972,2611,9476,1850,2106,6057
+,6354,1023,2797,8153,2382,732,2922,6831,9131,906
+,3062,9785,9177,2094,2916,4357,5381,4718,2422,1930
+,9583,4499,104,4969,8675,7724,1593,3095,1321,6029
+,7355,3567,122,3790,8954,6932,8146,1888,5669,5275
+,1499,3911,1865,7885,4518,5180,3094,1672,7117,708
+,8213,8157,648,1755,8027,980,839,9125,4507,9892
+,7881,3419,7540,1649,8127,9099,1016,974,5285,7478
+,6411,4764,8394,6579,5709,7923,363,5294,3082,1076
+,7171,2252,4336,2969,3229,5567,2282,7426,469,9447
+,3392,9524,5666,4710,7408,8973,9495,5332,8430,1252
+,9654,8899,2232,9081,5994,9455,8198,6771,1904,5619
-,235,0,0,0,0,0,0,0,0,0
+,2838,9086,8882,5056,627,5373,7609,6783,6834,4897
+,1539,3068,6133,7047,5978,4611,7454,8866,3455,1098
-,634,0,0,0,0,0,0,0,0,0
+,717,3037,7626,7514,7151,8555,9045,7433,6553,5472
+,6863,1209,2267,1139,6684,9282,8216,1061,3777,2169
-,662,0,0,0,0,0,0,0,0,0
+,7724,9690,837,5533,6149,5403,5022,8616,3343,1516
+,7435,3369,8945,8869,8560,3557,2374,3190,4484,1875
+,9773,7188,6991,986,7957,6142,6348,6449,9182,8478
+,6509,6522,625,1784,7761,9591,9106,1149,262,4542
+,4251,1010,4830,4402,3756,8518,6920,7029,751,5457
+,446,4381,7879,7642,6335,5002,5701,9599,6710,1134
+,3854,41,7420,7165,3115,2812,925,3370,5600,6525
-,31,0,0,0,0,0,0,0,0,0
+,1019,7367,4811,6332,6716,5974,5504,1709,8563,9379
+,8761,1673,1806,6346,4990,5375,8424,8455,1628,8761
+,3225,1205,5650,3223,73,122,2503,4935,1455,4456
+,5454,9372,3564,2338,5116,4937,5912,9815,6286,5798
+,9711,4653,8311,3446,2565,899,8651,1790,8989,3563
+,7890,7499,8177,3659,7208,6264,9595,1305,527,3396
-,206,0,0,0,0,0,0,0,0,0
+,7870,3557,1453,7466,7498,7230,1010,3265,3151,5391
-,157,0,0,0,0,0,0,0,0,0
+,9361,3410,7352,862,4650,1291,5944,2516,3940,8176
+,3166,2149,5505,2664,790,541,7953,263,5662,1794
+,9613,8427,773,9868,8890,6405,9263,2814,5925,3602
+,9963,7568,8599,9525,1314,8178,3670,5731,1117,4848
+,4105,3934,4560,2549,1888,4968,2457,3832,3911,1536
+,9500,6732,9423,8743,5935,8231,7903,4104,946,4875
+,2988,7426,3005,7750,7077,1508,7790,5729,9719,1642
+,6901,1333,7540,3792,4663,441,8528,9403,8478,9865
+,677,230,6451,5875,7053,9372,6157,6051,1879,3298
+,3870,518,7927,2457,7489,7273,4555,9008,7132,7674
-,210,0,0,0,0,0,0,0,0,0
+,7726,3275,7251,5374,4196,2670,6490,1570,5049,4631
+,922,7256,2153,105,4122,54,9999,4421,8790,8451
+,8960,189,7084,9801,7690,5664,348,6819,3406,5015
+,7717,1900,9111,1933,7227,738,8850,5423,9137,3111
+,3509,8444,9538,7090,9656,9474,1911,1906,2983,7657
-,935,0,0,0,0,0,0,0,0,0
+,2337,2279,6989,1046,397,8049,1791,1319,1310,6479
+,7740,3101,7043,2142,9273,9930,1031,1967,6990,8940
+,1319,7869,7019,9110,714,6466,6811,1336,1849,1492
+,1722,9284,8830,8097,1504,8961,4459,6748,9076,6552
+,8949,4953,8415,1433,5361,7624,8605,3900,4218,8025
+,5362,1264,4484,5841,6713,7014,4087,9684,8951,5364
+,7442,5994,5969,2866,8505,9645,9736,5964,9451,4773
+,377,3234,7348,8302,6244,2092,451,6901,2439,1590
+,9075,8564,4461,3315,6833,5770,7116,8186,7873,9965
+,3787,9344,283,3155,5,9905,4007,7139,7834,3278
+,2052,3411,1362,8085,1126,3205,31,374,502,3867
+,3182,3899,4937,3206,6578,3246,9157,149,5382,4338
+,8976,6244,5282,2402,3189,6207,6320,9278,2220,8369
+,2376,5446,4638,1766,9322,1676,8031,5096,8507,6495
+,3279,8841,4468,4146,5221,3770,3810,5133,7026,5106
+,572,5220,9343,9118,515,255,617,2365,4634,5993
+,8016,9440,9278,9087,2244,1061,4344,2111,6549,4419
-,467,0,0,0,0,0,0,0,0,0
+,3085,7513,640,6374,9484,4227,8728,2292,8434,1384
+,8812,3140,1635,8395,723,7114,2512,8494,5687,4058
+,3139,6709,2072,3402,4499,2712,9188,4111,2016,4958
+,431,3316,2197,4425,2470,61,4356,6081,407,1917
+,2238,7719,266,3102,3578,3935,4450,7363,8325,7123
-,86,0,0,0,0,0,0,0,0,0
+,1857,3560,4788,7331,876,1642,59,9846,9116,3118
+,9580,7387,2220,4117,7481,49,4766,7200,9923,8481
-,143,0,0,0,0,0,0,0,0,0
+,2571,1128,3086,7817,2578,7911,9438,9500,8716,5164
+,929,7580,5901,2648,4850,9229,6643,3824,4382,873
+,3928,3066,7398,4242,5510,7844,6652,7510,2389,3333
+,4225,5054,4109,4075,9810,1090,2287,4084,5310,8068
-,185,0,0,0,0,0,0,0,0,0
-,873,0,0,0,0,0,0,0,0,0
+,3687,7399,9867,6741,6266,3203,8693,1144,2490,3912
+,6847,5342,6661,7752,9090,9885,9259,2448,7047,1750
+,6636,50,2032,4591,7719,9585,3975,232,2293,4088
+,4302,7305,4195,6270,6604,3268,7565,3550,6454,7025
+,7579,2022,1504,5397,8406,9591,3918,7200,2656,1477
+,4476,1902,9217,4067,8367,3193,6817,3254,8591,7114
+,7506,6878,6220,1390,9149,1567,3532,7701,3327,8417
+,4861,3162,7648,2544,1618,1900,1067,7000,7565,6118
+,1386,7169,2821,7162,54,5034,6234,3207,4039,9733
+,2897,5384,5668,4146,9501,676,1137,4857,4975,1431
+,147,5128,290,1619,8648,552,9311,3433,4236,4807
+,6971,4798,826,1768,3153,2856,9321,2833,2967,4149
+,9502,1535,3728,5115,8617,9115,3953,3122,5659,3797
+,9530,5439,6089,7802,217,8930,4981,5667,1953,1151
+,9861,5532,4201,1304,6893,8290,5723,9959,2770,6465
+,2944,9249,4501,3497,1368,1462,3284,5483,4134,9344
+,2368,6490,3909,9070,394,4592,4011,105,5730,7067
+,6956,2663,8364,4335,226,1427,2025,8977,1998,5471
+,9707,1579,3651,2533,1637,989,2516,7485,6117,7437
+,9815,2421,5765,4498,3802,8180,3220,4989,601,6512
+,825,250,4130,5408,8887,2945,7515,769,9265,8129
+,326,9844,6911,7242,4482,3618,9714,1823,7321,1675
+,5709,5312,5579,8381,4481,8230,8232,9389,5819,3698
+,5110,2172,486,1866,1754,4797,972,3325,8282,1714
+,305,4505,7065,518,6171,3499,9354,2946,5444,8137
+,4976,7916,314,8290,2782,4539,6621,2750,3954,1550
+,2073,6746,7119,5859,9490,4828,5153,7074,7365,3935
+,6208,1385,6405,8675,7015,8236,674,1390,2390,3639
+,1482,7649,353,6710,8042,2268,4525,1561,5586,8889
+,908,300,2318,9224,5013,7457,1886,4094,901,4875
+,2977,709,2594,5557,6330,6964,1796,5033,6054,2676
-,412,0,0,0,0,0,0,0,0,0
+,8943,9161,5530,3847,5142,4366,1667,5323,4764,2427
+,7425,9496,3445,257,7504,5183,8595,519,6047,9376
+,3665,7415,8502,6022,1207,9164,1762,8202,9497,4584
+,1309,2242,8721,4088,776,2058,4668,3323,2985,122
+,307,3239,2561,7556,9843,1532,6803,6021,8026,8425
+,7432,9541,101,9052,1286,6463,5711,4135,7910,4629
+,2000,5704,5276,5029,8940,1837,4480,5866,3785,830
+,7622,3700,8719,2035,3514,9382,8576,3473,9088,4262
+,2252,2458,1694,4996,1041,382,7244,28,9856,3044
+,8302,3326,809,4810,3536,3379,9134,2756,2047,4913
+,9998,2187,4391,9977,554,8750,8098,1370,9205,8961
-,548,0,0,0,0,0,0,0,0,0
+,5617,3984,8488,7352,7985,9546,7263,7817,5891,1359
+,6816,6440,2628,5564,8698,2229,9532,536,5549,6567
+,692,1822,5359,4906,8972,1903,6440,4208,3869,3495
+,6628,3847,4311,8132,4006,3341,2538,7024,2971,5520
+,7733,9281,4189,9645,3898,4318,7418,3215,8752,7861
+,7356,2460,2254,1459,171,7492,1967,3638,2799,2982
+,3920,5654,6653,5526,5139,1401,9021,8168,4765,2734
+,5009,1415,5627,2960,1035,1912,5889,7390,839,5439
+,8010,2180,8074,4181,1090,5073,7377,8517,2017,2426
+,1131,24,1296,454,7451,3262,2939,5762,2973,9696
+,8640,4462,4790,9182,1416,8445,6579,4032,4567,4830
+,5316,4266,7421,8798,4810,957,4098,1371,9901,6803
+,5125,9365,7143,9412,1468,3258,7542,9352,5909,3783
+,7389,457,1364,9277,9138,7360,2291,5964,6822,7396
+,6728,5226,5734,3122,3004,8136,8411,3176,2077,7094
+,4916,8237,6605,1689,8153,3686,8604,1652,1434,3976
+,2257,9101,9963,8215,4578,3466,5232,4897,9442,9143
+,3074,2524,7805,8321,5977,9632,265,653,1232,6964
-,720,0,0,0,0,0,0,0,0,0
-,479,0,0,0,0,0,0,0,0,0
+,1384,1324,5705,6836,3824,89,2199,6492,2430,6020
+,6021,7570,4239,9662,2781,4904,32,9065,6666,3591
+,8251,3621,7572,552,2169,4382,1688,8438,6238,4548
+,9423,9568,6579,518,3121,1548,5044,2520,2310,4254
+,3418,4766,9794,598,5290,7634,1731,4844,1568,9006
+,3143,4135,7033,4303,335,6498,647,8598,6903,6278
+,472,706,7349,660,5851,5974,5576,6552,6948,1032
+,1705,9781,7335,5463,1795,2414,2128,1996,7160,9020
+,9210,6466,9116,3531,104,259,5802,3225,2003,9199
